,French text, Expected text,Predicted text
56034,elle et moi sommes brésiliens,she and i are brazilian,she and when are and                                          
56039,elle lui posa des questions,she asked him questions,she made him for questions                                          
56048,elle est rentrée très tard à la maison,she came home very late,she is at                                            
56077,elle possède une grande propriété,she has a large mansion,she made a  dress                                          
56083,elle la ignoré toute la journée,she ignored him all day,she ignored him day                                           
56097,elle est bonne en natation,she is good at swimming,she is good                                            
56100,elle est dune humeur massacrante,she is in an awful mood,she is a mood                                           
56102,elle est à son hôtel à lheure quil est,she is in her hotel now,she is to                                            
56113,elle garda le silence toute la journée,she kept silent all day,she takes all afternoon day morning                                         
56123,elle ressemble à sa tante,she looks like her aunt,she dress out of  success                                         
56134,elle doit avoir la quarantaine environ,she must be forty or so,she must to marry to the a                                        
56154,elle parle un bon anglais,she speaks good english,she made for  day                                          
56186,cest une belle jeune fille,shes a fine young lady,a teacher simple a girl                                          
56210,quelquun est en train de me regarder,somebody is watching me,now is to                                            
56229,désolée je ne peux pas taider,sorry i cant help you,sorry just around                                            
56241,éloignezvous de la porte,stay away from the door,give was door                                            
56245,reste en dehors de mes affaires ,stay out of my business,get out of my                                           
56251,arrêtez de vous conduire en bébé ,stop acting like a baby,stop acting like a baby                                          
56261,cessez de pleurer comme une fille ,stop crying like a girl,stop acting like a                                           
56292,parlezmoi de votre plan,tell me about your plan,what approve of your plan                                          
56294,parlemoi de ton épouse,tell me about your wife,is that                                             
56302,dismoi que ce nest pas vrai,tell me this isnt true,what anything it not this                                          
56331,merci davoir appelé tom,thanks for calling tom,please for  tom                                           
56334,merci pour les souvenirs,thanks for the memories,thank for  tickets the                                          
56338,cest valable aussi pour lui,that applies to him too,i is as    him                                        
56429,cest un très bon plan,thats a very good plan,a   nice job                                          
56436,cest tout ce dont je me soucie,thats all i care about,all that know all is                                          
56444,là nest pas la question,thats beside the point,it is not the                                           
56459,cest précisément ce dont jai besoin,thats just what i need,just what  i needed                                          
56463,ce nest pas une bonne chose,thats not a good thing,this a bad good                                           
56469,ce nest pas comme cela quil fonctionne,thats not how it works,this not going                                            
56481,cest beaucoup pour aujourdhui,thats plenty for today,i have a lot of friends                                         
56505,cest ce qui minquiète,thats what worrying me,do know  talking with about                                         
56517,cest pourquoi il sest mis en colère,thats why he got angry,why do you why you angry                                         
56533,la grange est pleine de foin,the barn is full of hay,a is  a virtue tourists                                         
56542,le cheval alezan est rapide,the brown horse is fast,the microphone is                                            
56545,la voiture a heurté larbre,the car bumped the tree,i car set a                                           
56557,le contrat a été conclu,the contract was signed,the wind was up                                           
56586,le chauffage ne fonctionne pas,the heater doesnt work,the tv downhill me                                           
56593,la maison était en flammes,the house was in flames,the house was ablaze                                           
56596,la maison darrêt est surpeuplée,the jail is overcrowded,the house is over                                           
56667,les trois ont été arrêtées,the three were arrested,the were are full                                           
56668,les trois furent arrêtés,the three were arrested,the two were three                                           
56682,leau sest changée en glace,the water turned to ice,its was to  ice                                          
56687,le temps était parfait,the weather was perfect,the weather was perfect                                           
56701,il ny a ici point de brise,there is no breeze here,there is no  furniture                                          
56710,il y avait un embouteillage,there was a traffic jam,there was no a shower                                          
56712,il ny avait rien làbas,there was nothing there,he was nothing                                            
56742,il ne reste quun jour,theres only a day left,its at                                             
56750,ces cadeaux sont pour toi,these gifts are for you,those pens are for                                           
56767,ils se sont tous moqués de moi,they all made fun of me,they are two of                                           
56790,ils ont attaqué lennemi,they attacked the enemy,they obeyed                                             
56819,ils se sont battus pour la liberté,they fought for freedom,they have a very deal                                          
56831,ils navaient rien à manger,they had nothing to eat,they allowed to                                            
56852,ils se sont rencontrés au collège,they met in high school,they arrived their each for at                                         
56868,elles veulent que tu démissionnes,they want you to resign,they want you to resign                                          
56890,ils ne parleront pas à tom,they wont speak to tom,they dance tom                                            
56893,ils seront là ce soir,theyll be here tonight,they see here tonight                                           
56911,elles te cherchent,theyre looking for you,they to for                                            
56913,ils sont en train de te chercher,theyre looking for you,looking for you                                            
56924,elles sont autosuffisantes,theyre selfsufficient,they                                              
56937,pense à ton avenir,think about your future,i does this word                                           
56940,cette zone est interdite,this area is offlimits,this box is old                                           
56941,ce livre est un polar,this book is a whodunit,this book is a pen                                          
56956,cela ne ma pas surpris,this didnt surprise me,that sounds is                                            
56957,cela ne présage rien de bon,this does not bode well,it good                                             
56959,ça ne semble pas correct,this doesnt feel right,that seems like                                            
56961,ceci na aucun sens,this doesnt make sense,this care no sense                                           
57008,cest la meilleur méthode,this is the best method,the is  died                                           
57026,ce nest pas bon pour tom,this isnt good for tom,this easy for tom                                           
57036,cet endroit est parfait,this place is all right,this place is perfect                                           
57038,cette place nest pas si mal,this place isnt so bad,this    bad                                          
57048,cette pièce reçoit la lumière du soleil,this room gets sunshine,this bottle open on to                                          
57067,cette eau est délicieuse,this water is delicious,this house is over                                           
57089,tom et mary sont endormis,tom and mary are asleep,tom and mary  and                                          
57093,tom et maria étaient jeunes,tom and mary were young,tom and mary were                                           
57141,tom navait pas lair sérieux,tom didnt seem serious,tom a                                             
57145,tom na pas voulu chanter,tom didnt want to sing,i want to ask                                           
57156,tom ne sourit pas souvent,tom doesnt smile often,tom even read                                            
57168,tom a donné quelque chose à mary,tom gave mary something,tom showed mary something                                           
57175,tom sest fiancé avec marie,tom got engaged to mary,tom does mary to mary                                          
57181,tom me salua poliment,tom greeted me politely,tom will read                                            
57191,tom a un travail très facile,tom has a very easy job,tom is very  fool for                                         
57219,tom est professeur de français,tom is a french teacher,tom is a girlfriend person                                          
57254,tom se cache quelque part,tom is hiding somewhere,tom will be something                                           
57279,tom a peur des fantômes,tom is scared of ghosts,tom is afraid trouble                                           
57290,tom ne va pas attendre,tom isnt going to wait,tom will to something                                           
57306,tom regarda le sol,tom looked at the floor,tom looked to live to                                          
57327,tom a empoisonné le chien de mary,tom poisoned marys dog,tom showed a  of                                          
57330,tom a promis de maider,tom promised to help me,tom promised run                                            
57335,tom shabilla,tom put on some clothes,i tom                                             
57338,tom est sorti de la pièce en courant,tom ran out of the room,tom is scolded on his the                                         
57344,tom regrette ce quil a fait,tom regrets what he did,tom possible like he did                                          
57394,tom pense que je suis un idiot,tom thinks im an idiot,tom thought he an  idiot                                         
57421,tom mourait de soif,tom was dying of thirst,tom looked slowly                                            
57425,tom était en retard pour le dîner,tom was late for dinner,tom was very for                                           
57437,tom regarde trop la télévision,tom watches too much tv,it is watching                                            
57439,tom porte des lunettes épaisses,tom wears thick glasses,tom has his at                                           
57459,le nez de tom saignait,toms nose was bleeding,gun is me                                            
57463,demain cest mon anniversaire,tomorrow is my birthday,having my at my                                           
57464,demain est mon anniversaire,tomorrow is my birthday,something is  your my                                          
57470,essaye de te contrôler,try to control yourself,try to  little of                                          
57477,éteins les lumières maintenant ,turn the lights out now,turn the                                             
57481,attends de voir ça ,wait until you see this,wait to  that                                           
57506,nous fîmes lacquisition dune table ronde,we bought a round table,we walked out of peace                                          
57515,nous ne pouvons garantir cela,we cant guarantee that,we allow this                                            
57540,nous faisons ceci tous les lundis,we do this every monday,we all                                             
57600,nous navons même pas commencé,we havent even started,we even to than                                           
57652,nous avons dévalé la pente à ski,we skied down the slope,we work the  problems                                          
57656,nous avons discuté tout à fait franchement,we talked quite frankly,we all  things that                                          
57658,nous étions toujours ensemble,we were always together,we still always together                                           
57671,on vous attendait,we were waiting for you,well will count dark it                                          
57676,nous naurons pas beaucoup de temps,we wont have much time,we have a lot                                           
57691,nous rencontrerons tom demain,well meet tom tomorrow,well see                                             
57693,nous parlerons dans mon bureau,well talk in my office,we in    beach                                         
57702,nous sommes ici pour les aider,were here to help them,were here us me                                           
57718,nous nallons pas y arriver,were not gonna make it,we help that                                            
57724,nous sommes à court de munitions,were out of ammunition,were out of                                            
57747,les fenêtres étaientelles fermées ,were the windows closed,the  set out                                           
57752,estce que tu étais occupé hier ,were you busy yesterday,i hope you were yesterday                                          
57753,étiezvous occupé hier ,were you busy yesterday,i was yesterday                                            
57770,quel magnifique coucher de soleil,what a beautiful sunset,what a the you on                                          
57773,quelle belle journée ,what a lovely day it is,at a  you                                           
57777,quelles sont les conditions ,what are the conditions,what are your measurements                                           
57798,sur quoi êtesvous assis ,what are you sitting on,what did you  accident                                          
57801,que regardestu ,what are you staring at,what is they say                                           
57804,à quoi faitesvous allusion ,what are you suggesting,what are you suggesting                                           
57819,questce quelles tont fait ,what did they do to you,what did they you                                           
57853,que font tes soeurs ,what do your sisters do,what do your drinking your                                          
57859,de quoi dautre tom atil besoin ,what else does tom need,tom  say tom like                                          
57910,comment le garçon sappelaitil ,what was the boy called,how did you say the                                          
57922,en quelle année estu née ,what year were you born,what phone did you went                                          
57925,en quelle année estu né ,what year were you born,what am the born you are                                         
57928,en quelle année êtesvous née ,what year were you born,what year the born                                           
57930,en quelle année êtesvous nées ,what year were you born,what are the born                                           
57946,comment sappelle le cheval ,whats the horses name,how did you get this                                          
57967,quand êtesvous allée au travail ,when did you go to work,when did you come to work                                         
57984,où sont mes cigarettes ,where are my cigarettes,where are you things                                           
58009,où peuton acheter des livres ,where can you buy books,where can one buy books                                          
58062,par quel chemin ten vastu ,which way are you going,which on of you                                           
58075,pour qui travaillezvous ,who are you working for,who are you working to                                          
58109,qui y sera ,whos going to be there,who you anyone there                                           
58116,à qui est tout cet argent ,whose is all this money,all is this afternoon this about                                         
58118,pourquoi fontelles cela ,why are they doing this,why are you wearing that                                          
58164,pourquoi nastu pas stoppé tom ,why didnt you stop tom,why you want tom                                           
58179,pourquoi ne partonsnous pas simplement ,why dont we just leave,why i just                                            
58212,pourquoi la porte étaitelle fermée ,why was the door closed,why did you door                                           
58215,pourquoi voudraistu ça ,why would you want that,why are i following this                                          
58227,voulezvous allumer le feu ,will you light the fire,will you light the light                                          
58251,inscris ici ton adresse,write your address here,is it your                                            
58252,inscrivez ici votre adresse,write your address here,its it your                                            
58260,vous êtes aveuglées par lamour,you are blinded by love,you are on alone                                           
58273,vous pouvez vous habiller maintenant,you can get dressed now,you may park here                                           
58282,tu ne peux pas venir demain,you cant come tomorrow,you go until tomorrow                                           
58336,tu ne me prêtes pas attention,you dont care about me,you feel me attention                                           
58346,tu nen as pas les tripes,you dont have the guts,you things them women                                           
58367,vous navez pas lair japonaise,you dont look japanese,you look japanese                                            
58375,vous ne semblez pas si malin,you dont seem so smart,you look so a                                           
58378,vous ne semblez pas si malignes,you dont seem so smart,you seem so  easily                                          
58390,vous navez pas lair trop sûres,you dont seem too sure,you seem too sure                                           
58405,tu as beaucoup de livres,you have a lot of books,you have a lot of books                                         
58407,vous en avez du courage ,you have a lot of nerve,you a at the                                           
58413,tu as un message ici,you have a message here,got a   here                                          
58416,vous avez de très belles lèvres,you have beautiful lips,got look very strong                                           
58419,vous vous en êtes très bien sortis,you have done very well,you very                                             
58425,tu ne disposes pas dalternative,you have no alternative,you sense me                                            
58439,il faut que tu le refasses,you have to do it again,i need to go it                                          
58445,tu dois travailler plus vite,you have to work faster,you must never  honest                                          
58451,tu sais que tom aime la bière,you know tom likes beer,i tom   television                                          
58507,tu nes jamais daccord avec moi,you never agree with me,do you ever with  me                                         
58513,tu me dois trente dollars,you owe me thirty bucks,you have to  me                                          
58566,vous ne devriez pas vous y rendre seuls,you should not go alone,you go not alone                                           
58581,t’aurais dû m’appeler,you shouldve called me,i should a                                            
58674,tu es le prof de mon gamin,youre my kids teacher,you a little way                                           
58682,vous nallez pas gagner,youre not going to win,you like to                                            
58706,vous faites partie de léquipe,youre part of our team,part to of                                            
58746,tu es plein de ressources,youre very resourceful,very resourceful                                             
58756,vous êtes jeune et forte,youre young and strong,be polite much                                            
58762,vous avez fait tout ce que vous pouviez,youve done all you can,you did what you  were                                         
58764,tu as sur toi de la peinture,youve got paint on you,got paint  on                                           
58771,vous devez plaisanter ,youve gotta be kidding,you must be                                            
58775,tu as tout pris,youve taken everything,you ruined before                                            
58779,vos amis ont lair gentil,your friends sound nice,your friend nice                                            
58791,la fermeture éclair de ton pantalon est baissée,your pants are unzipped,the tines is  to                                          
58827,tout ce à quoi je pense cest toi,all i think about is you,is i mean                                            
58868,parlentils français ,are they speaking french,are you lose                                            
58887,attendstu qui que ce soit ,are you expecting anyone,are anyone                                             
58899,vastu voir un film ,are you going to a movie, is speak                                            
58918,êtesvous ici avec quelquun ,are you here with anyone,going will here with                                           
58919,estu ici avec qui que ce soit ,are you here with anyone,did anyone   about                                          
58928,cherchestu du travail ,are you looking for work,do you looking for a job                                         
58946,estu tombé sur la tête ,are you out of your mind,i was his the head the                                         
58970,estu sûr que cest sûr ,are you sure thats safe,are course hope sure                                           
58976,êtesvous certaines que cest sûr ,are you sure thats safe,tell me know true                                           
58980,êtesvous le meneur du groupe ,are you the group leader,the plan is on to                                          
58989,nastu pas un petit peu froid,arent you a little cold,cold a little                                            
58990,ne sommesnous pas amis ,arent you and i friends,you want                                             
58993,les asiatiques consomment beaucoup de riz,asians eat a lot of rice,the often a fought to                                          
59002,les chiens qui aboient mordent rarement,barking dogs seldom bite,the like released to  the                                         
59012,les oiseaux volent sur de longues distances,birds fly long distances,the normans are just the it                                         
59021,on peut manger le chou cru,cabbage can be eaten raw,the can better it fix                                          
59030,puisje changer de chaîne ,can i change the channel,this  have to  the                                         
59049,puisje utiliser ton téléphone ,can i use your telephone,can i use your                                           
59101,bientôt noël,christmas is coming soon,its almost christmas                                            
59108,viens me voir demain,come and see me tomorrow,come me see me tomorrow                                          
59174,qui que ce soit dautre vous atil aidé ,did anyone else help you,can anybody that scared                                           
59223,astu lu larticle ,did you read the article,i read the article the                                          
59224,avezvous lu larticle ,did you read the article,i read the article the                                          
59233,tu las cousu à la main ,did you sew this by hand,are you want it                                           
59267,veuxtu te reposer ,do you feel like resting,can you call on after                                          
59278,avezvous un dictionnaire ,do you have a dictionary,do you a  bill                                          
59298,astu assez dargent ,do you have enough money,are you getting enough oxygen                                          
59322,savezvous ce que cest ,do you know what this is,do you know it                                           
59330,savezvous qui elles sont ,do you know who they are,do you know who they are                                         
59333,appréciezvous lopéra français ,do you like french opera,is                                              
59335,aimestu les vins français ,do you like french wines,life love have                                            
59375,parlestu à tes chats ,do you talk to your cats,does you make the will                                          
59384,tu veux du bœuf ou du porc ,do you want beef or pork,can you beef for                                           
59412,cela ne te plaîtil pas ,does this not please you,that like it                                            
59424,ne changez pas de sujet,dont change the subject,make me fun me                                           
59464,nayez pas lair si suspicieuses ,dont look so suspicious,you like that much                                           
59477,ne jouez pas au baseball ici,dont play baseball here,lets play tennis here                                           
59510,ne me dictez pas qui je dois apprécier ,dont tell me who i like,can i mind i how you                                         
59515,ne dites rien à ma blonde ,dont tell my girlfriend,tell me tell                                            
59574,onze est un nombre premier,eleven is a prime number,a new is new                                           
59576,même un enfant peut faire ça,even a child can do that,i could me a to that                                         
59577,le soir approchait,evening was drawing near,the work is here                                           
59580,tout le monde doit le faire,everybody has to do that,she can it do                                           
59581,tout le monde connaît son nom,everybody knows his name,everybody knows me name                                           
59605,tout le monde sest mis à se disputer,everyone started arguing,everyone started                                             
59627,emplissez deau les bocaux,fill the jars with water,fill the  away                                           
59628,terminez vite votre travail,finish your work quickly,just your  party                                           
59631,cinq et trois donnent huit,five plus three is eight,the eyes were and                                           
59646,enlève cette chose de moi ,get that thing off of me,do like this                                            
59651,retirezles de ma vue ,get them out of my sight,give you help for my                                          
59670,donnezmoi une raison de rester,give me a reason to stay,give me a reason to me                                         
59717,y avezvous jamais été ,have you ever been there,are you live it                                           
59719,astu déjà vendu une voiture ,have you ever sold a car,i already a                                            
59751,il commença à invoquer des prétextes,he began to make excuses,he began to for to                                          
59756,il ne peut pas avoir moins de 30 ans,he cant be under thirty,he be thirty                                            
59771,il a nié lavoir fait,he denied having done it,he has no longer                                           
59777,il a fait un assez bon boulot,he did a pretty good job,he is a good job                                          
59796,il ne porte pas de chapeau,he doesnt have a hat on,he is not hat                                           
59800,il ne me comprend pas,he doesnt understand me,he move                                             
59814,il ma trouvé un bon endroit,he found me a good place,he found a  job                                          
59815,il trouva la porte fermée,he found the door closed,he kissed the   door                                         
59818,il me donna tout son argent,he gave me all his money,he showed me his                                           
59846,il a écrit deux livres,he has written two books,he looks having books                                           
59877,tout le monde laime,he is liked by everybody,everyone likes her                                            
59885,il a plus de force que moi,he is stronger than i am,he is better than i  am                                        
59886,il est plus fort que moi,he is stronger than i am,stronger than me                                            
59926,il a fait un testament lannée dernière,he made a will last year,he was a  year                                          
59961,il mit la veste rouge,he put on the red jacket,he slept the on the window                                         
59969,il court bien pour son âge,he runs well for his age,he is no of age his age                                        
59972,il se rendit compte quil avait tort,he saw that he was wrong,he was much of how wrong                                         
59986,il dépense trop dargent,he spends too much money,he was too  questions                                          
59996,il parle très gaiement,he talks very cheerfully,he was also very russian                                          
60008,il a pris part à la course,he took part in the race,he solved the team                                           
60019,il a attendu jusquà ce quelle vienne,he waited until she came,he is snowing she came                                          
60020,il marchait devant moi,he walked in front of me,he brought out of  me                                         
60024,il veut être différent,he wants to be different,he can to be a                                          
60043,il a été tué à la guerre,he was killed in the war,he was wounded to the war                                         
60081,il me laissait laider,he would let me help him,he for  me                                           
60111,il ny excelle pas,hes not very good at it,he is no                                            
60122,la chaleur dilate la plupart des choses,heat expands most things,the begins will looking visiting                                          
60141,voici une lettre pour vous,here is a letter for you,a for   you                                          
60195,comment se faitil que vous ne soyez pas mort ,how come youre not dead,how know you know be bluffing                                         
60228,comment saistu tout cela ,how do you know all that,how do you explain all that                                         
60264,combien de cd astu ,how many cds do you have,how many times i  have                                         
60288,à quel point tu aimes tom ,how much do you love tom,how if talking think tom                                          
60309,comment feriezvous ce travail ,how would you do the job,how get you help for job                                         
60328,jadmire votre confiance,i admire your confidence,i appreciate your support                                           
60348,je ne suis pas du tout romantique,i am not romantic at all,not quite a am                                           
60355,je suis prêt à vous suivre,i am ready to follow you,i to  me                                           
60356,je suis prête à vous suivre,i am ready to follow you,glad to  me                                           
60360,je suis certaine de son honnêteté,i am sure of his honesty,sorry am of his                                           
60373,japprécie tout ce que vous avez fait,i appreciate all you did,all anyone think                                            
60375,japprécie le geste,i appreciate the gesture,the you the for                                           
60425,je ne peux parler quanglais,i can only speak english,i talk to                                            
60431,je ne puis accepter ton cadeau,i cant accept your gift,i stand put your                                           
60455,je ne peux pas boire ce truc,i cant drink this stuff,i be for tomorrow                                           
60462,je ne peux pas aller à la police,i cant go to the police,i leave myself the                                           
60509,je les ai surprises la main dans le sac,i caught them in the act,i caught out in the                                          
60523,jaurais pu être tué,i could have been killed,i  be surprised                                           
60540,jai désespérément besoin dune voiture,i desperately need a car,i you a   car                                         
60559,je navais pas le cœur à my rendre,i didnt feel like going,i have to                                            
60607,je nai pas compris cela,i didnt understand that,i think that                                            
60614,je nai pas voulu tembêter,i didnt want to bug you,i want to                                            
60617,je nai pas voulu te casser les pieds,i didnt want to bug you,i want to  feel                                          
60635,je ne crois pas à la magie,i dont believe in magic,i believe this work                                           
60647,je nai pas le cœur à manger,i dont feel like eating,i feel like reason                                           
60651,je nai pas envie dessayer,i dont feel like trying,i like                                             
60668,il ne me reste pas beaucoup de temps,i dont have much longer,a   much                                           
60671,je ne les connais pas tous,i dont know all of them,i hear all of                                           
60686,je ne sais pas ce que vous faites,i dont know what you do,i know what you                                           
60689,je ne sais pas où aller,i dont know where to go,i know what to go                                          
60743,je nai pas vraiment besoin de ça,i dont really need this,i really accept this                                           
60749,je ne me souviens plus très bien,i dont remember exactly,i remember seeing                                            
60752,je ne pense pas quil viendra,i dont think hell come,i think he                                            
60757,je ne comprends pas les femmes,i dont understand women,i understand  you                                           
60758,je ne veux pas de petit ami,i dont want a boyfriend,i want to boyfriend                                           
60775,je ne veux pas que vous perdiez,i dont want you to lose,i want you to get involved                                         
60811,je vous interdis dy aller,i forbid you to go there,i promise you out you                                          
60825,je me rends à lécole chaque jour,i go to school every day,i swim every  day                                          
60851,jai eu une urgence familiale,i had a family emergency,i had a wise of                                          
60859,je navais nulle autre part où aller,i had nowhere else to go,i like any go to go                                         
60885,je déteste le type dà côté,i hate the guy next door,i hate this way                                           
60886,je déteste cette partie de la ville,i hate this part of town,i just out of                                           
60903,jai beaucoup de choses à faire aujourdhui,i have a lot to do today,i have a lot of to  do                                       
60911,jai une demande à faire,i have a request to make,a one tell                                            
60916,jai le nez bouché,i have a stuffedup nose,the train is worth to                                          
60924,jai certains principes,i have certain standards,got spent the                                            
60925,jai bu tout mon lait,i have drunk all my milk,i just my milk                                           
60932,je nai aucun doute à ce sujet,i have no doubt about it,i have no if that he it                                        
60934,je nai aucune idée de qui cest,i have no idea who he is,i had no idea what he                                         
60945,jai des tas damis,i have plenty of friends,were i play                                            
60948,jai des amies en veuxtu en voilà,i have plenty of friends,both of                                             
60957,il faut que je change de vêtements,i have to change clothes,i have to change                                           
61016,jespère que nous pouvons éviter cela,i hope we can avoid that,what hope i do this                                          
61019,jespère que vous êtes heureux tous les deux,i hope you two are happy,how them you two are                                          
61071,je savais que tom était à boston,i knew tom was in boston,i knew tom  to boston                                         
61081,je sais que jai entendu quelque chose,i know i heard something,i know this about saw                                          
61082,je sais que jai verrouillé la porte,i know i locked the door,i know i to  door                                         
61086,je sais que je suis seule làdedans,i know im alone on this,i know what that happen                                          
61089,je sais que tom a été malade,i know tom has been sick,i know tom  frightened                                          
61096,je sais que tom est occupé aujourd’hui,i know tom is busy today,i know tom  is                                          
61105,je sais que tom est en surpoids,i know tom is overweight,i know tom is                                           
61107,je sais que tom est partial,i know tom is prejudiced,i know tom  is                                          
61110,je sais que tom est toujours occupé,i know tom is still busy,i know tom is  still                                         
61117,je sais que tom nest pas un rabbin,i know tom isnt a rabbi,i know tom  a                                          
61119,je sais que tom pourrait le faire,i know tom might do that,i know tom  can do that                                        
61137,je sais que tom est un espion,i know that tom is a spy,i know tom is a kid                                         
61144,je sais que tu es un espion,i know that youre a spy,i know a  older                                          
61163,je sais ce qui sest passé,i know what has happened,i know what happened                                           
61181,je sais que tu ne maimes pas,i know you dont love me,i know you back                                           
61219,jaime jouer du piano,i like to play the piano,do you what out of japan                                         
61221,jaime essayer de nouvelles choses,i like to try new things,do i think your shoes                                          
61227,jai apprécié de travailler avec toi,i liked working with you,i love with  you                                          
61228,jappréciai de travailler avec vous,i liked working with you,i like to with  you                                         
61256,jai rencontré un ami de mary,i met a friend of marys,i saw tom with                                           
61257,je lai rencontré à la gare,i met him at the station,i met him met him the                                         
61268,il faut que je décide quoi faire,i must decide what to do,i may to what  to do                                        
61281,je dois trouver une issue,i need to find a way out,i must be  deal                                          
61297,jamais je nai vu pareille femme,i never saw such a woman,been never   such no                                         
61300,je ne tai jamais dit darrêter,i never told you to quit,i never told to you                                          
61312,jai remarqué la différence,i noticed the difference,i you the                                            
61332,je prévois de déménager à boston,i plan to move to boston,i was into to                                           
61368,je devrais vraiment men aller,i really should be going,i really try to                                           
61377,je regrette beaucoup de choses,i regret a lot of things,i felt on much                                           
61392,jai vu tom prendre tes clés,i saw tom take your keys,i  some  brother                                          
61407,je vois un oiseau sur le toit,i see a bird on the roof,i see a shape a                                          
61422,je séjournai dans un chouette hôtel,i stayed at a nice hotel,i was in a nice towel                                         
61465,je pense quil a raison,i think that he is right,i think they right                                           
61469,je pense que cest un problème,i think thats a problem,i think that is a                                          
61471,je pense que cest tout à fait lidée,i think thats the point,i think better can to do                                         
61506,je pense que vous êtes en danger,i think youre in danger,i think why                                            
61521,je pensais que tu pouvais nager,i thought you could swim,i thought id to leave                                          
61522,je pensais que vous viendriez peutêtre,i thought you might come,i thought you were up                                          
61528,jai pensé que tu comprenais,i thought you understood,i thought you get to                                          
61534,je pensais que vous étiez fauchés,i thought you were broke,i thought you were awake                                          
61555,jai pensé que vous seriez seuls,i thought youd be alone,i thought be leave                                           
61562,je pensais que tu serais plus vieux,i thought youd be older,i say it the                                           
61570,je tai dit que je nétais pas ivre,i told you im not drunk,i said laugh surprised                                           
61572,je tai dit que cétait stupide,i told you it was stupid,i thought i say to                                          
61577,je suis totalement daccord avec vous,i totally agree with you,i agree with                                            
61612,je veux être guitariste,i want to be a guitarist,i want to be useful                                          
61617,je veux trouver le véritable amour,i want to find true love,i want to find up                                          
61631,je veux vivre dans une commune,i want to live in a town,i want to live in a big                                        
61637,je veux vous rendre heureuses,i want to make you happy,i want to be see                                          
61647,je veux tester mes limites,i want to test my limits,i want to increase of                                          
61700,jai raté le train,i was late for the train,i listening the                                            
61701,jétais seul sans elle,i was lonely without her,i wish it without believe it                                         
61705,je jouais du violon,i was playing the violin,i played of violin                                           
