,Spanish text, Expected text,Predicted text
27214,¿qué es el toreo,what is bullfighting,what is                                             
27219,¿cuál es tu dirección,what is your address,what name                                             
27228,¿qué están buscando,what were they after,what are  looking                                           
27235,¿qué será de mí,whatll become of me,what will going to                                           
27238,¿qué estás pensando,whatre you thinking,what are you thinking                                           
27247,¿cuál es su propósito,whats their purpose,what is your she                                           
27256,¿cuándo se puso enfermo,when did he fall ill,when does tom be                                           
27272,¿dónde están las llaves de tom,where are toms keys,where are tom                                            
27273,¿dónde están mis gafas,where are my glasses,where are my                                            
27274,¿dónde están las manzanas,where are the apples,where are the these                                           
27280,¿dónde te estás escondiendo,where are you hiding,where are you been                                           
27287,¿dónde lo compró tom,where did tom buy it,where was tom shop                                           
27304,¿por dónde deberíamos comenzar,where shall we begin,why did i get to cars                                         
27317,¿dónde queda el ingreso,wheres the entrance,where are you trees the                                          
27328,¿quiénes son esas personas,who are those people,put are these                                            
27329,¿quién eres tú para juzgar,who are you to judge,who are you  to now                                         
27330,¿quiénes son tus enemigos,who are your enemies,who are your flight                                           
27342,¿con quién vives,who do you live with,who were you talking to                                          
27358,¿quién dijo que yo tenía un arma,who said i had a gun,who told you that a                                          
27359,¿quién te dijo eso,who said that to you,who told that                                            
27379,¿de quién es esa carta,whose letter is this,where is  that                                           
27382,¿por qué los chicos son tan tontos,why are boys so dumb,why are you so  for                                         
27392,¿por qué eres tan lista,why are you so smart,why are                                             
27394,¿por qué sos tan lista,why are you so smart,why are                                             
27395,¿por qué estás tan cansado,why are you so tired,why are you so  sad                                         
27404,¿por qué no habló tom,why didnt tom speak,why you understand tom                                           
27438,¿irás con tom,will you go with tom,did you talk to tom                                          
27451,¿te gustaría ir,would you like to go,would you like to go                                          
27458,casi me mataste,you almost killed me,i almost him                                            
27482,podéis contar con él,you can count on him,you can get to pick him                                         
27522,no podéis culparlos,you cant blame them,you blame them                                            
27573,ahora debes reposar,you need to rest now,you must as for relax                                          
27599,deberías haber llamado,you shouldve called,you have be                                            
27606,nunca estuviste solo,you were never alone,you never  alone                                           
27613,encontrarás a alguien,youll find somebody,take somebody                                             
27667,has ganado peso,youve gained weight,gained weight                                             
27689,una vaca tiene la cola larga,a cow has a long tail,a   an brothers red                                         
27693,un montón de gente lo hace,a lot of people do it,a of is just us me                                         
27706,llega siempre a tiempo,always arrive on time,its time                                             
27715,¿éstos son tus caballos,are these your horses,those are your                                            
27721,¿le tienes miedo a tom,are you afraid of tom,are you afraid tom                                           
27728,¿ya estás de vuelta en casa,are you back home now,are there all home                                           
27739,¿te estás cansando,are you getting tired,are you a of                                           
27756,las malas noticias viajan veloz,bad news travels fast,the tired goes to than                                          
27761,quédate quieto un momento,be quiet for a moment,stay a nice moment                                           
27803,¿podrá ser cierta su historia,can his story be true,you would be   your story                                        
27809,¿podemos alquilar una barca de remos,can we rent a rowboat,can you be in star                                          
27811,¿puedes llamar más tarde,can you call me later,can you start later                                           
27814,¿puede uno morirse de miedo,can you die from fear,do you afraid of to                                          
27817,¿puedes adivinar su edad,can you guess her age,can you guess to age                                          
27821,¿sabes guardar un secreto,can you keep a secret,do you know to a secret                                         
27829,¿puedes meterme por aquí,can you squeeze me in,can you stop with here                                          
27837,a los gatos no les gusta el agua,cats dont like water,on of water                                            
27845,venga vamos a intentarlo,come on lets try it,try to  try                                           
27865,¿se quedó mucho rato,did he stay very long,has you lot of lot                                          
27886,¿habéis visto mi cámara,did you see my camera,have you seen my camera                                          
27911,¿te gusta comprar,do you enjoy shopping,do you like to                                           
27920,¿tiene usted bicicleta,do you have a bicycle,do you have a japanese                                          
27921,¿tienen una bicicleta,do you have a bicycle,do you have a bicycle                                          
27922,¿tienes un hermano,do you have a brother,do you have a brother                                          
27924,¿tiene encendedor,do you have a lighter,do you have                                            
27934,¿tienes tiempo,do you have some time,do you have to fish                                          
27937,¿debes marcharte ahora,do you have to go now,got to  now                                           
27954,¿te gusta viajar,do you like to travel,do you like bugs                                           
27956,¿te gusta tu jefe,do you like your boss,do you like your                                           
27965,¿hueles algo,do you smell anything,give something                                             
27995,¿tom usa lentes,does tom wear glasses,do you finished lunch                                           
28005,¿habla ella francés,does she speak french,does anyone speak french                                           
28006,¿se puede abrir esa ventana,does that window open,can you use on noise                                          
28011,¿alguno escucha,doesnt anyone listen,lets being drink                                            
28014,la comida para perros es cara,dog food is expensive,fresh is                                             
28017,no me preguntes nada,dont ask me anything,i eat anything                                            
28029,no me llame más por teléfono,dont call me anymore,i may here of the                                          
28031,no te cortes el dedo,dont cut your finger,i have my ticket                                           
28034,no bebas el agua,dont drink the water,come the water                                            
28037,no esperes demasiado,dont expect too much,ever too much                                            
28046,no me involucres,dont get me involved,i shut it                                            
28047,no te emociones demasiado,dont get too excited,you give too much                                           
28070,todavía no se lo digas a nadie,dont tell anyone yet,no regret fun                                            
28085,¿no te sientes mejor,dont you feel better,you   much better                                          
28097,come donde quieras,eat wherever you want,something me to want                                           
28109,todos parecían felices,everyone looked happy,all                                              
28122,la fortuna le sonrió,fortune smiled on him,her turned smiled                                            
28127,consíganme otro abogado,get me another lawyer,you was your lawyer                                           
28143,adiviná dónde estuve,guess where ive been,where i where you                                           
28151,¿ya llegaron ellas,have they arrived yet,did you find to                                           
28159,¿viste a mi mujer,have you seen my wife,did you seen my to                                          
28172,él siempre toma apuntes,he always takes notes,he always making good                                           
28189,él sabe leer y escribir,he can read and write,he knows going to lie                                          
28193,él no puede venir con nosotros,he cant come with us,he speak along us                                           
28225,él tenía que quedarse en la cama,he had to stay in bed,he had to go to bed time                                        
28233,tiene un nombre extraño,he has a strange name,it has beautiful weird                                           
28242,me lo interpretó para mí,he interpreted for me,i looking it to me                                          
28247,él es un heroinómano,he is a heroin addict,he is a                                            
28280,a él le faltan algunos jugadores,he is out of his mind,he has taking roses of                                          
28283,se dice que ha muerto,he is said to be dead,he has been  had sick                                         
28284,se dice que él es rico,he is said to be rich,he is rich he  is                                         
28286,él está seguro de su éxito,he is sure to succeed,he is italian not his                                          
28287,él es alto y fuerte,he is tall and strong,canadian is his and his                                          
28301,él no está contento en absoluto,he isnt happy at all,he at along  at                                          
28316,él se ve un poco pálido,he looks kind of pale,he looks pretty                                            
28319,a él le encanta viajar,he loves taking trips,he loves to trips                                           
28322,él se inventó esa historia,he made up that story,he did off the country                                          
28359,él nos enseña historia,he teaches us history,he teaches off well                                           
28360,él nos da clase de historia,he teaches us history,he of making of coffee                                          
28365,él me lo contó todo,he told me everything,he liked everything                                            
28370,solía beber cerveza,he used to drink beer,i would like to lunch                                          
28375,él estaba casi ahogado,he was almost drowned,he was been with                                           
28392,él ganó una medalla de plata,he won a silver medal,he won a cup of                                          
28397,lo escribió a la carrera,he wrote it hurriedly,i met her at the noise                                         
28398,él estará a salvo conmigo,hell be safe with me,he will be with  him                                         
28427,su enojo era auténtico,her anger was genuine,his heart was his                                           
28431,su cara se puso blanca,her face turned white,her son white her tongue                                          
28451,manténgase en la línea por favor,hold the line please,open in                                             
28467,¿cómo termina la película,how does the film end,how are the problem                                           
28481,¿cuánto tiempo dura,how long does it take,how much are you walking                                          
28483,¿cuánto te debo,how much do i owe you,how much money it you                                          
28526,soy más baja que tú,i am shorter than you,more harder to you                                           
28549,lo compré ayer,i bought it yesterday,i made it yesterday                                           
28576,no puedo hacerlo sola,i cant do this alone,i do it alone                                           
28588,no consigo abrir la puerta,i cant open the door,fit the key door                                           
28608,vengo aquí todos los días,i come here every day,i visit  every day                                          
28623,no compré nada,i didnt buy anything,i do a thing                                           
28624,yo no compré nada,i didnt buy anything,i do a thing                                           
28632,no entendí el chiste,i didnt get the joke,i key the truth                                           
28662,no me siento capaz de hacerlo,i dont feel up to it,i am do to that                                          
28675,no tengo un pasaje,i dont have a ticket,got have a ears                                           
28696,no me gusta la política,i dont like politics,i love this                                            
28708,no necesito un abogado,i dont need a lawyer,i need a lawyer                                           
28715,yo no veo a tom muy seguido,i dont see tom often,i understand tom                                            
28717,no veo el auto de tomás,i dont see toms car,i tom the                                            
28729,no quiero nada,i dont want anything,i want anything                                            
28732,ése no lo quiero,i dont want that one,i want                                             
28735,no quiero éste,i dont want this one,i want to                                            
28743,no quiero compartir,i dont want to share,i want press                                            
28744,no quiero disparar,i dont want to shoot,i want press                                            
28750,me gusta jugar ajedrez,i enjoy playing chess,i like chess movies                                           
28768,le di a tom un sedante,i gave tom a sedative,i gave tom a note                                          
28779,voy a la escuela en colectivo,i go to school by bus,i go to school the this                                         
28780,me perforé las orejas,i got my ears pierced,i sat bitten the mayor                                          
28826,tengo mis propias razones,i have my own reasons,i have like twin                                           
28835,tengo que encontrar a mi perro,i have to find my dog,i have to dog my                                          
28840,tengo que irme a dormir,i have to go to sleep,i have to go to                                          
28861,espero que comprendas,i hope you understand,i hope you get                                           
28875,sé que está en mi corazón,i know it in my heart,i know its to put in shoes                                        
28889,sé por dónde empezar,i know where to start,i know where to                                           
28933,te quería mucho,i loved you very much,i just you like                                           
28941,yo debo haberlo soñado,i must have dreamt it,i must to be honest                                          
28942,debo ayudar a mi madre,i must help my mother,i must to my  mother                                         
28972,tengo que impresionar a tom,i need to impress tom,i have to tom                                           
28988,nunca me pongo chaqueta,i never wear a jacket,i never  to hour you                                         
28989,ya no trabajo aquí,i no longer work here,i to                                             
28997,hice una carrera con él,i ran a race with him,i did a to  him                                         
29001,de verdad que me encanta mi trabajo,i really love my work,just of her work to                                          
29023,hoy le he visto dos veces,i saw him twice today,i even  seen somewhere                                          
29039,yo hablo mucho inglés,i speak english a lot,i speak english  french                                          
29045,estuve despierta toda la noche,i stayed up all night,i was all  night                                          
29057,creo que tom es un mentiroso,i think tom is a liar,i think tom is a genius                                         
29063,creo que tom sabe el por qué,i think tom knows why,i think we know what to                                         
29072,yo creo que ellas te conocen,i think they know you,i think they understand you                                          
29094,giré el pomo de la puerta,i turned the doorknob,lock the door into the door                                         
29115,quiero una explicación,i want an explanation,i want an explanation                                           
29126,quiero comer un mango,i want to eat a mango,i want to ask anything                                          
29137,quiero adelgazar,i want to lose weight,i want to stand                                           
29162,me quedé despierto toda la noche,i was awake all night,i sat in night house                                          
29164,me acusaron injustamente,i was falsely accused,i was stung with him                                          
29199,necesitaré tu ayuda,i will need your help,ill do your assistance                                           
29204,¡quisiera ser como él,i wish i was like him,he will as i as                                          
29208,ya quisiera haber estado allá,i wish id been there,i try to doing that                                          
29219,me pregunto dónde está tomás,i wonder where tom is,i wonder who tom is                                          
29224,trabajo en la embajada,i work at the embassy,i usually in on next                                          
29240,quisiera darte las gracias,id like to thank you,i you to  a                                          
29274,lo recogeré a las cinco,ill pick him up at 5,we will it up five                                          
29276,te veré en un ratito,ill see you in a bit,ill you  in on while                                         
29291,te voy a contar una historia,ill tell you a story,ill tell you a interesting coffee                                         
29297,soy el abuelo de tomás,im toms grandfather,grandfather                                              
29330,me alegro de que te guste,im glad you liked it,ready to                                             
29342,estoy aquí para disculparme,im here to apologize,waiting for the for                                           
29346,soy el responsable de eso,im in charge of that,the for the for                                           
29362,no tengo nada de hambre,im not at all hungry,i have anything                                            
29375,no estoy orgulloso de eso,im not proud of that,i am of  that                                          
29392,sigo siendo vuestro amigo,im still your friend,you studying your friend                                           
29414,siempre te amé,ive always loved you,always  missed him                                           
29432,tengo las llaves del coche,ive got the car keys,i have a car                                           
29441,tomé mi decisión,ive made my decision,i made a decision                                           
29445,he visto a tom en el trabajo,ive seen tom at work,i tom read in job                                          
29453,me ocupé de eso,ive taken care of it,they noticed hit to that                                          
29462,¿sucede algo,is anything happening,were something                                             
29467,¿es un vuelo directo,is it a direct flight,is a  vacant                                           
29472,¿está muy lejos para ir caminando,is it too far to walk,are it right to  paris japan                                        
29491,¿son ciertos estos datos,is this data accurate,are you fingers                                            
29506,podría ser importante,it could be important,it could be somewhat                                           
29513,ocurrió de forma natural,it happened naturally,about just to you                                           
29518,mañana es domingo,it is sunday tomorrow,tomorrow is sunday                                            
29529,hoy hace mucho frío,it is very cold today,its cold                                             
29534,podría salvarte la vida,it may save your life,it could wearing your number                                          
29535,puede que sea una boda,it might be a wedding,its may be a                                           
29543,huele a una trampa,it smells like a trap,you a                                             
29554,tom fue el que me pegó,it was tom who hit me,tom was do to monday                                          
29565,estaba extremadamente frío,it was extremely cold,it was completely with                                           
29575,era muy difícil,it was very difficult,it was very good                                           
29585,mañana va a llover,it will rain tomorrow,its going to  this                                          
29599,es un claro indicativo,its a dead giveaway,its is an disease                                           
29624,es mi canción favorita,its my favorite song,my favorite my                                            
29635,ayudar es nuestra obligación,its our duty to help,please is answer                                            
29641,esto es realmente estresante,its really stressful,this is really spying                                           
29712,probemos suerte,lets give it a whirl,be well                                             
29717,¡vámonos a la playa,lets go to the beach,it on the                                            
29729,no le hablemos a ella,lets not talk to her,they not to   her                                         
29751,mirá esa montaña,look at that mountain,look at that                                            
29765,maría tiene sus problemas,mary has her problems,mary has our problems                                           
29773,mary es una esposa trofeo,mary is a trophy wife,mary is a typical woman                                          
29793,¿puedo dejar un mensaje,may i leave a message,can i have a                                           
29801,¿puedo hablar en francés,may i speak in french,can i speak to                                           
29832,mi casa queda en una colina,my house is on a hill,my father one a  in the                                        
29845,mi madre estaba furiosa,my mother was furious,my father was been shopping                                          
29849,mi salario es muy bajo,my salary is very low,my very is a proud nice                                         
29869,nadie sabe nada,no one knows anything,nobody will anything                                            
29909,la gente se burló de tom,people laughed at tom,police of tom                                            
29923,por favor adopta este michín,please adopt this cat,please tell this  copy                                          
29944,por favor repare el auto,please repair the car,please show to                                            
29948,piénsalo por favor,please think about it,please take me                                            
29949,por favor lanza la bola,please throw the ball,please show me the salt                                          
29952,por favor prenda la televisión,please turn on the tv,please turn off the downstairs                                          
29963,ponlo donde quieras,put it where you like,help me to you want                                          
29968,los conejos se reproducen rapidamente,rabbits breed quickly,white prices were to                                           
29971,las ratas transmiten la epidemia,rats carry the plague,the floods the                                            
29986,ahórrate tu aliento tom,save your breath tom,stay your fingers tom                                           
29989,el colegio empieza a las 840,school starts at 840,the school                                             
29998,ella siempre luce pálida,she always looks pale,she always eats some                                           
29999,ella siempre trabaja mucho,she always works hard,she is works to                                           
30000,ella y yo somos primos,she and i are cousins,she and i are with                                          
30022,ella tenía ganas de bailar,she felt like dancing,she never like an mountains                                          
30027,ella le consiguió un nuevo sombrero,she got him a new hat,she made her a new car                                         
30032,ella tiene una muñeca bonita,she has a pretty doll,she has a nice dress                                          
30055,ella es tan alta como tú,she is as tall as you,she is as                                            
30061,ella está emparentada con él,she is related to him,she is hard him                                           
30102,quería que yo viniese,she wanted me to come,i wanted you to get                                          
30108,ella fue mala con él,she was unkind to him,she is with to him                                          
30115,ella es una madre soltera,shes a single mother,she is her                                            
30119,está en el cuarto de baño,shes in the bathroom,its the in the office                                          
30132,cierra la puerta rápidamente,shut the door quickly,read the door off                                           
30140,¿entonces abandonas no,so you give up right,get a up the                                           
30142,alguien robó mi auto,somebody stole my car,somebody left my bag                                           
30167,cuidaos,take care of yourself,take care                                             
30173,enséñame cómo se hace,teach me how to do it,when me when where                                           
30177,dime que no es verdad,tell me its not true,tell me that true                                           
30181,dime qué ha pasado,tell me what happened,tell me what                                            
30184,dime lo que tienes,tell me what you have,tell me for did                                           
30202,eso puede ser peligroso,that can be dangerous,it sounds be                                            
30251,eso es mucho dinero,thats a lot of money,a thing money job                                           
30257,así crecimos nosotros,thats how we grew up,ill visited it to us                                          
30262,eso no es una solución,thats not a solution,you a  solution                                           
30267,ese no es mi problema,thats not my concern,its is concern problem                                           
30270,este fallo no es mío,thats not my mistake,this book is not mine                                          
30351,el lago está muy hondo,the lake is very deep,the lake is very  nowhere                                         
30360,ha salido la luna,the moon has come out,he was gone the  fire                                         
30365,la noticia la entristeció,the news made her sad,the news went dried                                           
30367,aquí no está la enfermera,the nurse is not here,its is not black                                           
30395,el jabón me hizo daño en los ojos,the soap hurt my eyes,their in went in the eyes                                         
30396,los soldados están muertos,the soldiers are dead,the dead                                             
30426,la votación es unánime,the vote is unanimous,the situation is somewhat                                           
30429,el mundo ha cambiado,the world has changed,spring has changed                                            
30439,no hay mucho tiempo,there isnt much time,there long time                                            
30446,hay una mancha de grasa,theres a grease spot,a is a                                            
30461,no hay nada ahí,theres nothing there,there is for                                            
30463,hay alguien aquí,theres somebody here,here                                              
30464,hay alguien allá,theres someone there,please for                                             
30475,ellos llegaron demasiado pronto,they arrived too soon,they will to much  tomorrow                                         
30478,ellas comieron bombones,they ate marshmallows,they ate marshmallows                                            
30481,ellos quemaron algún carbón,they burned some coal,they fought running in                                           
30502,parecían la mar de ocupados,they looked very busy,the   finally the night                                         
30521,ellos se lo llevaron por la fuerza,they took it by force,they turned has to                                           
30523,ellos confían el uno en el otro,they trust each other,they were the paper the other                                         
30531,no lo van a entender,they wont understand,going to  as                                           
30537,ellos están viniendo por mí,theyre coming for me,friendly to for                                            
30538,vienen a por nosotros,theyre coming for us,coming to  me                                           
30541,solo son estudiantes,theyre just students,neither students are us                                           
30542,son gente corriente,theyre normal people,all us                                             
30548,han sido detenidos,theyve been arrested,been                                              
30552,treinta años no son tantos,thirty isnt that old,what are  is                                           
30558,este dato está obsoleto,this data is outdated,this picture is this                                           
30560,esta es la pieza de tom,this is toms bedroom,this is                                             
30565,esta es una muestra gratuita,this is a free sample,this is a mess                                           
30587,esto no está pasando,this is not happening,this is                                             
30589,esto no es importante,this is not important,this is                                             
30592,éste es nuestro principal objetivo,this is our main goal,this shirt our                                            
30606,aquí es donde vivimos,this is where we live,this is soon to                                           
30608,esto no es acerca de ellos,this isnt about them,this is by                                            
30642,tom se portó como un bebé,tom acted like a baby,tom behaved like a  ago                                         
30656,tom intentó suicidarse,tom attempted suicide,tom attempted to kill himself                                          
30662,tom puso a hervir algo de agua,tom boiled some water,tom went out of off of water                                        
30669,tom sabe guardar un secreto,tom can keep a secret,tom knows one a canadian                                          
30671,tom no puede permitirse ambos,tom cant afford both,tom get seen up                                           
30696,tom podía ser canadiense,tom could be canadian,tom looks be                                            
30706,tom lo hizo por sí mismo,tom did it by himself,tom did it at himself                                          
30707,tom lo hizo por sí solo,tom did it on his own,tom did him at wrong himself                                         
30709,tom no almorzó,tom didnt have lunch,tom have out                                            
30713,tomás no quiso ir,tom didnt want to go,tom want to go                                           
30717,tom hace trabajos de calidad,tom does quality work,tom is rather to harm                                          
30742,tom sentía ganas de bailar,tom felt like dancing,tom felt like dance                                           
30773,tom tiene una idea mejor,tom has a better idea,tom has best old                                           
30775,tom tiene un gran problema,tom has a big problem,tom has a good                                           
30780,tom está un poco resfriado,tom has a slight cold,tom is a good student                                          
30797,tom tiene lo que quiere,tom has what he wants,tom has everything what he                                          
30824,tom es veterinario,tom is a veterinarian,tom is                                             
30827,tom le tiene miedo a los perros,tom is afraid of dogs,tom has afraid dogs                                           
30832,tom es tan alto como yo,tom is as big as i am,tom is tall as  she                                         
30833,tomás tiene la misma edad que maría,tom is as old as mary,tom is the  age mary                                         
30837,tom es mejor que nosotros,tom is better than us,tom is worth to                                           
30879,tom está listo para luchar,tom is ready to fight,tom is hotter to himself                                          
30942,tom lo hizo sonar fácil,tom made it look easy,tom did it as thing                                          
30980,tom le guardó un asiento a mary,tom saved mary a seat,tom put a note  mary                                         
30987,tom parece bajo de ánimo últimamente,tom seems down lately,tom was wearing in  arms power                                        
30992,tom luce bastante molesto,tom seems quite upset,tom is thinking dumb                                           
31013,tom piensa que estamos muertos,tom thinks were dead,tom knows dead                                            
31025,tom me subestimó,tom underestimated me,tom give back                                            
31031,tom quería verte,tom wanted to see you,tom wanted to  you                                          
31032,tom quiere más café,tom wants more coffee,tom wants some coffee                                           
31039,tom quiere ver a mary,tom wants to see mary,tom wants to forget mary                                          
31064,tom ganó el triatlón,tom won the triathlon,tom won the bet                                           
31115,seguimos hablando,we continued chatting,they talking up                                            
31126,condujimos hasta boston,we drove up to boston,were to  boston                                           
31127,nosotros salimos temprano por la mañana,we got an early start,we walked back to the                                          
31141,oímos con nuestras orejas,we hear with our ears,we heard their                                            
31142,nos ayudamos el uno al otro,we helped one another,we walk breakfast the other                                          
31153,hicimos un castillo de arena,we made a sand castle,we a  new caused                                          
31168,deberíamos permanecer aquí,we should remain here,we should remain here                                           
31177,nosotros vemos televisión todos los días,we watch tv every day,i see still every day                                          
31196,trataremos de ser de ayuda,well try to help out,stop hard to be  from                                         
31207,estamos progresando,were making progress,were so                                             
31250,¿qué estás tomando,what are you drinking,what are you eating                                           
31282,tomás ¿qué quieres decir,what do you mean tom,tom   want to                                          
31300,¿qué pasa aquí,what is going on here,what happened here                                            
31304,¿qué la hizo hacer eso,what made her do that,what  the do                                           
31323,¿qué es lo que hará tom en ese momento,what will tom do then,in happened tom doing                                           
31331,¿qué es todo este ruido,whats all this noise,what is name duty                                           
31336,¿cuál es el número de mi habitación,whats my room number,your is                                             
31344,¿de qué se trata todo esto,whats this all about,what about with this                                           
31350,¿y tom cuándo ha vuelto,when did tom get back,ill tom you when married soon                                         
31354,¿cuándo lo averiguaste,when did you find out,when did you be back                                          
31358,¿cuándo te vas a acostar,when do you go to bed,when did you going to                                          
31362,¿cuándo estaréis de vuelta,when will you be back,when will you start to                                          
31364,¿dónde están mis muletas,where are my crutches,where are my                                            
31365,¿dónde están las duchas,where are the showers,where are the lifeboats                                           
31382,¿dónde duerme tom,where is tom sleeping,when did tom speak                                           
31404,¿con quién hablo,who am i talking with,who did you talking to                                          
31406,¿contra quién pelean,who are they fighting,lets start for you for                                          
31412,¿quién te crees que soy,who do you think i am,who do you think  am                                         
31418,¿quién sabe que tom está aquí,who knows tom is here,who  tom here                                           
31437,¿de quién son estos zapatos,whose shoes are these,whose pictures are your                                           
31460,¿por qué le disparaste a tom,why did you shoot tom,why do you talk tom                                          
31467,¿por qué no pasas adentro,why dont you come in,why you stay up                                           
31476,¿por qué ha pasado esto,why has this happened,why is he doing this                                          
31485,¿por qué te debería contratar,why should i hire you,why i you call                                           
31492,¿por qué me lastimarías,why would you hurt me,why did they call me                                          
31496,¿volveremos a ver a tom,will we see tom again,well take tom to tom                                          
31510,¿te gustaría una cerveza,would you like a beer,would you like a                                           
31512,¿quiere comer,would you like to eat,do you want to drink                                          
31513,¿podría parar por favor,would you please stop,can you excuse it please                                          
31525,eres una buena persona,you are a good person,a pretty person                                            
31534,eres decidido,you are strongminded,you are                                             
31541,no puedes ser médico,you cant be a doctor,you seem a doctor                                           
31567,tienes muchas amigas,you have many friends,got have lot friends                                           
31569,tú tienes muchos amigos,you have many friends,you have a friends                                           
31586,debes quedarte aquí,you have to stay here,you must  here                                           
31614,tienes que calmarte,you need to calm down,got have  here                                           
31645,tenías razón antes,you were right before,understand tom right                                            
31655,nunca estarás solo,youll never be alone,you will never be alone                                          
31661,siempre estás sonriendo,youre always smiling,still smiling                                             
31675,tú estás preparando esto,youre making this up,lying                                              
31679,no eres tan aterrador,youre not that scary,not are a unfair                                           
31691,eres la bomba,youre something else,the poor                                             
31692,eres la leche,youre something else,you hurry                                             
31695,todavía eres menor de edad,youre still underage,i am become of                                           
31702,eres demasiado inflexible,youre too inflexible,you just very                                            
31709,sos muy escéptico,youre very skeptical,you are very                                            
31744,vuestros zapatos están desatados,your shoes are untied,your team is made                                           
31745,su reloj adelanta,your watch gains time,her father is burst                                           
31771,un lobo no puede ser domesticado,a wolf cannot be tamed,a more can be to be                                         
31780,todos los niños se fueron,all the boys went away,all of the gone                                           
31790,casi todos suspendieron,almost everyone failed,almost   believed                                           
31792,¿voy por el camino correcto,am i on the right road,ill begin back to the road                                         
31817,¿vas a volver ahora,are you going back now,are you going to go now                                         
31828,¿me estás apuntando a mí,are you pointing at me,are you flirting for to me                                         
31835,¿seguro que tom está bien,are you sure tom is ok,afternoon tom is                                            
31838,¿no son ingleses,arent they englishmen,you are                                             
31839,¿no tienen sueño,arent you guys sleepy,you be                                             
31856,tráeme el periódico de hoy,bring me todays paper,get me paper                                            
31871,¿puedo volver a trabajar,can i get back to work,can i accompany to tomorrow                                          
31878,¿me lo entregan de vuelta ahora,can i have it back now,will you come to late before                                         
31882,¿te puedo llevar,can i offer you a ride,can you find it                                           
31889,¿es tom capaz de manejar el fracaso,can tom handle failure,is tom a danger white                                          
31913,¿puedes andar en bicicleta,can you ride a bicycle,can you use a                                           
31927,los gatos no comen plátanos,cats dont eat bananas,in  not salt of                                          
31928,los gatos no comen bananas,cats dont eat bananas,with not  often                                           
