,German text, Expected text,Predicted text
63949,hättet ihr etwas dagegen wenn ich hereinkäme,do you mind if i come in,do you mind if i get to                               
63953,vermissen sie ihre freunde,do you miss your friends,do your friends                                   
63968,planst du ins ausland zu gehen,do you plan to go abroad,come you go to home                                 
63971,planen sie lange hier zu bleiben,do you plan to stay long,wait you have long here in other                               
63972,lebst du wirklich allein,do you really live alone,are you really yet                                  
64091,nicht das thema wechseln,dont change the subject,i that close the subject                                 
64116,vergessen sie ihre sachen nicht,dont forget your things,forget your good hungry                                  
64124,tötet nicht den boten,dont kill the messenger,blame the                                    
64146,geh nicht an dieses telefon ran,dont pick up that phone,try this the salt                                  
64158,erzähl mir nicht was ich zu tun habe,dont tell me what to do,tell me what i do                                 
64189,willst du nicht rausgehen,dont you want to go out,you want to                                   
64219,alle waren so aufgeregt,everybody was so excited,everyone like so                                   
64223,alle schlafen noch,everyone is still asleep,still on have done                                  
64253,fünf plus drei ist acht,five plus three is eight,our model is eight after three                                
64267,ich wünsche ihnen eine geruhsame nacht,get a good nights sleep,i  a  much                                 
64279,hilf mir mal kurz,give me a hand will you,give me a letter                                  
64281,helfen sie mir mal kurz,give me a hand will you,show me at a song                                 
64287,gib mir das salz bitte,give me the salt please,give me the way please                                 
64298,griechenland ist ein altes land,greece is an old country,is  a excellent                                  
64314,ich wünsche ihnen einen sehr schönen abend,have a wonderful evening,i  a  good too                                
64343,hast du lange hier gelebt,have you lived here long,did you have seen in french                                
64344,hast du dich entschieden,have you made a decision,did you have to                                  
64358,hast du daran gedacht,have you thought of that,did you have any that                                 
64373,er ist ein berühmter schauspieler geworden,he became a famous actor,he is a excellent                                  
64391,er hat die ganze nacht durchgetanzt,he danced all night long,he worked himself the night                                 
64395,er wies die anschuldigung von sich,he denied the accusation,he shut the  to stood                                
64416,er hat keine schwester,he doesnt have a sister,he a  lot                                  
64436,er hat sich total in sie verknallt,he fell for her big time,he has as teacher dead to her                               
64442,er hat eine kaputte kamera gefunden,he found a broken camera,he has a new  apples                                
64458,er musste seine uhr verpfänden,he had to pawn his watch,he had to fight his watch                                
64470,er hat mich zu dem gemacht was ich bin,he has made me what i am,he gave me of to me                                
64484,er hatte vor sie zu heiraten,he intended to marry her,he went up to her                                 
64591,er berichtigte mich höflich,he politely corrected me,he seldom me                                   
64594,er versprach nicht zu rauchen,he promised not to smoke,he decided to give                                  
64636,er hat sich selbst französisch beigebracht,he taught himself french,he read made french                                  
64667,er war leicht beeinflussbar,he was easily influenced,he was absent great a                                 
64670,er war ganz ein könig,he was every inch a king,he was like a happy                                 
64674,er war froh jude zu sein,he was happy being a jew,he was afraid to                                  
64677,er war vor angst gelähmt,he was paralyzed by fear,he was afraid but scared                                 
64685,er ging an bord des flugzeugs,he went aboard the plane,he fell at the for waist                                
64686,er fuhr mit dem auto nach boston,he went to boston by car,he took to car from the car                               
64688,er fuhr mit dem auto zur schule,he went to school by car,he helped his house by his house                               
64736,er ist sich nicht sicher ob er bereit ist,hes not sure hes ready,he is not he is                                 
64743,er sieht wirklich gut aus,hes really good looking,think he knows really                                  
64767,hier ist meine kontonummer,heres my account number,my is my favorite                                  
64773,sein englisch ist exzellent,his english is excellent,his story is excellent                                  
64795,seine rede war zu kurz,his speech was too short,his late of eight years                                 
64796,seine geschichte klingt seltsam,his story sounds strange,his story is story                                  
64820,wie hat er die nachricht verkraftet,how did he take the news,how did he fight of                                 
64840,wie geht es ihnen damit,how do you feel about it,how is you it  you                                
64842,wie kommst du zur schule,how do you get to school,how do   school                                 
64848,wie wollt ihr das anstellen,how do you plan to do it,how do you want to do this                               
64876,wie viel kostet diese hose,how much are these pants,how much does this                                  
64887,wie lange brauchen wir,how much time do we need,how long do you have it                                
64910,wie wird tom das machen,hows tom going to do it,tom is going that                                  
64935,ich bin mit euch beiden einer meinung,i agree with both of you,i usually with your you                                 
64941,ich habe fast einen teller fallen lassen,i almost dropped a plate,i got a   of eye                               
64958,ich fahre motorrad,i am riding a motorcycle,i head my                                   
64961,ich bin mir seines erfolges sicher,i am sure of his success,bird of all my                                  
64974,ich entschuldigte mich umgehend,i apologized immediately,i excused forward at way                                 
64992,ich habe um acht gefrühstückt,i ate breakfast at eight,i worked at of                                  
65010,ich wette tom war richtig glücklich,i bet tom was real happy,i saw tom happy                                  
65042,ich kann das auf englisch singen,i can sing it in english,i is all it but                                 
65059,ich kann nicht weiterkämpfen,i cant fight any longer,i stand my                                   
65066,ich kann heute nicht zur arbeit gehen,i cant go to work today,i go to today                                  
65086,ich kann nichts versprechen,i cant promise anything,i stand without                                   
65113,ich kann sie nicht mitnehmen,i cant take you with me,i cannot you                                   
65122,ich kann es kaum erwarten ihn kennenzulernen,i cant wait to meet him,i came meet  tom                                 
65128,ich komme aus einer großen familie,i come from a big family,i am very a big teacher                                
65131,ich habe tom überzeugt sich ans steuer zu setzen,i convinced tom to drive,i recognized tom                                   
65159,ich habe nichts davon kapiert,i didnt get any of that,i have without this number                                 
65163,ich habe dich nicht kommen gehört,i didnt hear you coming,i have you                                   
65232,ich weiß nicht wo sie ist,i dont know where it is,i know where you live                                 
65252,ich mag den verkehr nicht,i dont like the traffic,i like the kind guy                                 
65259,ich bin nicht gern allein,i dont like to be alone,i like being alone                                  
65307,ich will hier nicht essen,i dont want to eat here,i want to eat here                                 
65315,ich will ihnen nicht helfen,i dont want to help you,i want to help you                                 
65318,ich will dir nicht weh tun,i dont want to hurt you,i want to hurt you                                 
65319,ich will dir nicht wehtun,i dont want to hurt you,i want to fight you                                 
65323,ich will tom nicht treffen,i dont want to meet tom,i want to see tom                                 
65346,heute morgen fühle ich mich gut,i feel good this morning,i feel today                                   
65368,ich fahre mit der ubahn zur schule,i go to school by subway,going to the school                                  
65382,ich habe mich schnell daran gewöhnt,i got used to it quickly,i all up  about all                                
65395,ich musste einige anrufe tätigen,i had some calls to make,got have some  cut                                 
65425,ich habe eine nachricht für tom,i have a message for tom,i have a for  tom                                
65436,ich habe hier einen stechenden schmerz,i have a sharp pain here,i met a black with                                 
65474,ich habe auch so eine,i have one of those too,i have to                                   
65484,ich habe das pikass,i have the ace of spades,i made the machine                                  
65507,ich muss sagen dass ich sie beneide,i have to say i envy you,i have to be you                                 
65592,ich wollte einfach nur heimgehen,i just wanted to go home,i just wanted to  refuse                                
65603,ich wusste dass das passieren würde,i knew this would happen,i knew that  happen                                 
65613,ich weiß von dir und tom,i know about you and tom,i know tell you tom                                 
65622,ich weiß nichts über sie,i know nothing about her,i know anyone about you                                 
65633,ich weiß dass tom pleite ist,i know that tom is broke,i know that tom is                                 
65662,ich weiß dass du keine angst hast,i know youre not scared,i know you                                   
65676,das violette hemd gefällt mir,i like that purple shirt,i really my mine                                  
65678,mir gefällt wie es klingt,i like the way it sounds,i like  it like                                 
65738,es kann sein dass ich bei dem kurs durchfalle,i might flunk the course,i can  me my village                                
65775,ich brauche davon nur zwei,i only need two of these,i only want about job books                                
65783,ich habe zweihundert dollar für diese tasche bezahlt,i paid 200 for this bag,i have a hours in day                                
65801,ich traf zufällig einen alten freund,i ran into an old friend,i was a for new dog                                
65832,ich sah sie am bahnhof,i saw her at the station,i met watching at the station                                
65885,ich denke ich verstehe dich,i think i understand you,i think i understand you                                 
65905,ich denke es war vielleicht tom,i think it was maybe tom,i think its tom                                  
65912,ich glaube es ist ungefähr hier,i think its around here,i think its here                                  
65917,ich glaube sie steht auf dem kopf,i think its upside down,i think you were all by                                
65920,ich denke dass mein bein gebrochen ist,i think my leg is broken,i think i is  my                                
65934,ich finde du solltest es tun,i think you should do it,i think you should that                                 
65935,ich finde sie sollten es tun,i think you should do it,i think you should that                                 
65938,ich finde ihr seid zu weit gegangen,i think you went too far,i think you way too                                 
65939,ich finde sie sind zu weit gegangen,i think you went too far,i think you tired too                                 
66011,ich will jetzt mein geld zurückhaben,i want my money back now,i want to dog my money                                
66025,ich möchte in die stadt gehen,i want to go to the city,i want to go to the city                               
66075,ich wollte französisch lernen,i wanted to learn french,i wanted to learn french                                 
66088,ich fing langsam an mir sorgen zu machen,i was beginning to worry,i hurt hard to                                  
66094,ich war hungrig und durstig,i was hungry and thirsty,i was very hungry                                  
66105,ich wurde ausgenutzt,i was taken advantage of,i was taken of                                  
66122,ich ging zur hintertür hinaus,i went out the back door,i participated on  the                                 
66127,ich werde sechzehn im mai,i will be sixteen in may,ill be eating in others                                 
66135,ich werde einen mann aus dir machen,i will make a man of you,ill will help you                                  
66162,ich werde morgen nicht viel zu tun haben,i wont be busy tomorrow,i have much  to work                                
66199,das würde ich gerne sehen,i would like to see that,id like to  see                                 
66255,ich hatte mich noch nie so sehr gefürchtet,id never been so afraid,i been very  at good cold                               
66260,ich würde lieber nicht antworten,id prefer not to answer,i like not bed                                  
66327,ich werde mir das vormerken,ill make a note of that,ill get care this                                  
66346,ich hole euch um 12 uhr ab,ill pick you up at noon,ill will you up you                                 
66351,ich bringe euch zum wagen,ill see you to your car,ill you your car                                  
66357,ich werde bis zehn uhr hierbleiben,ill stay here until ten,ill be  back in half                                
66404,es geht mir gut danke,im feeling fine thanks,well is watching for                                  
66422,ich werde mit tom gehen,im going to go with tom,going to go tom                                  
66427,ich werde mir das leben nehmen,im going to kill myself,ill take reading my                                  
66463,ich mache gerade frühstück,im making breakfast now,ill get study out                                  
66481,ich verlange kein geld,im not asking for money,i have any money                                  
66502,ich bin nicht glücklich darüber,im not happy about this,not happy   that happy                                
66506,ich bin nicht hier um euch zu helfen,im not here to help you,not to  help                                  
66525,ich bin älter als ihr denkt,im older than you think,ill be you                                   
66536,ich bin stolz kanadierin zu sein,im proud to be canadian,proud to be proud canadian                                 
66568,ich bin sicher dass ihr tom mögen werdet,im sure youll like tom,ill show you  an                                 
66569,ich bin mir sicher dass tom ihnen gefallen wird,im sure youll like tom,if even you tom  you                                
66583,ich spiele mit dem gedanken,im toying with the idea,i worry playing about                                  
66585,ich bin es gewohnt allein zu essen,im used to eating alone,used to fun long                                  
66589,ich benutze einen neuen rechner,im using a new computer,i could use new  idea                                
66632,ich bin noch nie in paris gewesen,ive never been to paris,i been never to                                  
66634,ich war noch nie bei tom,ive never been to toms,i was been ever tom                                 
66639,ich habe die decke angestrichen,ive painted the ceiling,i got the fence running                                 
66652,wenn du willst dann gehen wir,if you want to well go,if you  to  leave you                               
66672,ist es etwas dringendes,is it something pressing,is it any complaint                                  
66678,ist das eine fangfrage,is that a trick question,is this a interesting                                  
66727,hat tom das nicht gesagt,isnt that what tom said,did tom say it                                  
66736,es hat nicht viel gekostet,it didnt cost that much,it work use way done work                                
66760,es geschah vor einem jahr,it happened one year ago,it work at day                                  
66763,es muss etwas bedeuten,it has to mean something,have to                                    
66765,so lange ist es noch gar nicht gewesen,it hasnt been that long,its more time                                   
66811,es war eine fürchterliche angelegenheit,it was a terrible affair,it was an  trip                                 
66831,es wird nur einen augenblick dauern,itll just take a moment,only  just little                                  
66846,das ist eine gut situierte familie,its a welltodo family,this is a good idea is                                
66853,das ist eine optische täuschung,its an optical illusion,this is a synthetic interesting                                 
66883,es ist nicht mehr erforderlich,its no longer necessary,its no prophecy choice                                  
66973,lass uns woanders essen,lets eat somewhere else,lets eat another food                                  
66976,lassen sie uns woanders hingehen,lets find another place,lets eat another place                                  
66997,setzen wir uns irgendwo,lets sit down somewhere,lets and in                                   
67003,das leben vergeht ziemlich schnell,life goes by pretty fast,life almost quickly                                   
67044,maria ist ein wunderschönes mädchen,mary is a beautiful girl,mary is a big girl                                 
67055,maria ist nicht meine freundin,mary isnt my girlfriend,mary my                                    
67058,maria backt gerne brot,mary likes to bake bread,id like mary keep bread                                 
67071,kann ich ihren radiergummi ausleihen,may i borrow your eraser,can i borrow your rent                                 
67075,darf ich einen blick auf die speisekarte werfen,may i see a menu please,may i have a pencil bit for ceiling                              
67088,tom hat vielleicht seinen bus verpasst,maybe tom missed his bus,tom took missed his                                  
67090,vielleicht sollten wir besser ruhig sein,maybe we should be quiet,maybe we should get                                  
67107,meine tante ist an leukämie gestorben,my aunt died of leukemia,my reputation died dead  france                                
67134,mein vater fährt zur arbeit,my father drives to work,my father goes to school                                 
67141,mein vater verreiste gewöhnlich,my father used to travel,my father plays television                                  
67145,meine freundin ist keine kanadierin,my friend isnt canadian,my sister is a                                  
67179,meine gebete wurden erhört,my prayers were answered,my  were arrested                                  
67186,meine schwester ist so eine nervensäge,my sister is so annoying,my sister is a  large                                
67195,meine sonnenbrille ist kaputt,my sunglasses are broken,my wife is over                                  
67199,an meiner universität gibt es ein studentenwohnheim,my university has a dorm,sorry is  season for mountain phone                               
67202,meine uhr ist gestohlen worden,my watch has been stolen,my email has stolen                                  
67215,brich niemals dein versprechen,never break your promise,smoking never use your                                  
67220,niemand außer tom macht das,no one but tom does that,no is will that                                  
67248,es weiß niemand dass ihr hier seid,nobody knows youre here,nobody knows here                                   
67253,niemand machte einen versuch tom zu helfen,nobody tried to help tom,nobody one going to see tom                                
67270,jetzt wäre die zeit günstig,now would be a good time,its time                                    
67281,ach stells irgendwo hin,oh just put it anywhere,oh put  it                                  
67283,eine kiste fehlt noch,one box is still missing,have a  box for done                                
67289,einer von ihnen ging hin um sich zu verstecken,one of them went to hide,you to have to   in                               
67308,gib gut acht,pay very close attention,be careful good                                   
67313,die leute lebten in dörfern,people lived in villages,some people eats in  country                                
67317,spiel uns noch ein lied vor,play another song for us,try a  little song                                 
67422,sie sagte die feier ab,she called off the party,she picked the   off                                
67429,sie führte eine seidene handtasche bei sich,she carried a silk purse,she refused to tie the                                 
67476,sie ist alles für ihn,she is everything to him,she is it him                                  
67489,sie ist nicht mehr einsam,she isnt lonely anymore,not                                     
67496,sie lebt in dem dorf,she lives in the village,she lives in the                                  
67507,sie hat ihn am strand getroffen,she met him on the beach,she took him the  detail                                
67523,sie ist nach thailand aufgebrochen,she set out for thailand,she is out on for month                                
67530,sie hat ihn an den see mitgenommen,she took him to the lake,she made the                                   
67532,sie lehnte mein angebot ab,she turned down my offer,she refused his offer                                  
67546,sie konnte fließend französisch,she was fluent in french,look  out french                                  
67549,sie war sehr unhöflich zu ihm,she was very rude to him,she was very fond him                                 
67552,sie war ihm gegenüber unhöflich,she wasnt polite to him,she gave him her lie                                 
67555,sie trägt ihr haar offen,she wears her hair loose,she is with the flowers                                 
67564,sie arbeitet in einem krankenhaus,she works for a hospital,they work a  week                                 
67569,es geht ihr heute viel besser,shes a lot better today,better feel a better                                  
67583,sie trägt hohe schuhe,shes wearing high heels,she has on a daughters shoes                                
67587,sie hat eine sonnenbrille auf,shes wearing sunglasses,she is tough harder                                  
67594,bislang habe ich es niemandem gesagt,so far ive told no one,sorry i  anything it                                 
67658,erzähl mir die geschichte noch mal,tell me that story again,tell me tom even tom                                 
67661,sag mir wie es war,tell me what it was like,tell me how i was                                 
67676,danke dass sie es mir gesagt haben,thank you for telling me,thanks you for me it                                 
67707,das erklärt alles,that explains everything,be it do                                   
67712,jenes pferd ging als erstes durchs ziel,that horse came in first,my ticket is goal from dead please                               
67719,das ist alles was er sagte,that is all that he said,that is things he know                                 
67771,das ist meine aufgabe nicht die von tom,thats my job not toms,this is of tom                                  
67777,das ist kein zufall,thats not a coincidence,its no a                                   
67835,das baby kann laufen,the baby is able to walk,the baby was is to                                 
67840,das badezimmer ist oben,the bathroom is upstairs,the summer is bad                                  
67863,der kitt war noch feucht,the cement was still wet,the story was  already                                 
67868,der zusammenhang ist wichtig,the context is important,the is  easy                                  
67871,der doktor fühlte meinen puls,the doctor felt my pulse,the friend gave good last wife                                
67874,der hund fing den ball,the dog fetched the ball,the dog fell deserted                                  
67890,der wald ist sehr dicht,the forest is very thick,the big is  very big thin                               
67904,die eiscrème schmilzt,the ice cream is melting,the lovers work annoying                                  
67910,das gesetz wurde geändert,the law has been changed,the plan was changed                                  
67930,die neuigkeiten machten sie glücklich,the news made them happy,its wear were so angry                                 
67934,die krankenschwestern sind sehr nett,the nurses are very nice,the twins are very  beautiful                                
67954,das bedauernswerte mädchen wurde blind,the poor girl went blind,the girl  half a                                 
67964,der empfang ist nicht gut,the reception isnt good,the movie is good                                  
67968,die ergebnisse waren atemberaubend,the results were amazing,the were  checked                                  
68018,das ganze gebäude wackelte,the whole building shook,the girl happened is last                                 
68042,da ist eine bushaltestelle,theres a bus stop there,is  a end world                                 
68066,es gibt nichts was ich tun kann,theres nothing i can do,its more i do                                  
68076,dies sind sehr alte bücher,these are very old books,no as  to                                  
68103,sie aßen ein paar enchiladas,they ate some enchiladas,they took a  hundred heart                                
68106,sie versuchten zu fliehen,they attempted to escape,she returned to                                   
68126,sie sind durch ihre prüfungen gefallen,they flunked their exams,she is welcome of  teacher                                
68158,sie brachen zu einem picknick auf,they set out on a picnic,you wear a  company together                                
68169,sie fuhren zur wahlbeobachtung,they went whale watching,they went to the club                                 
68230,das könnte eine panik auslösen,this could start a panic,that sounds a terrible                                  
68240,dieses lebensmittel enthält kein gluten,this food is glutenfree,this castle is very visiting                                 
68246,dieses haus hat sechs zimmer,this house has six rooms,this house is my room                                 
68250,dies ist ein vogelschutzgebiet,this is a bird sanctuary,this is a bit mission                                 
68301,das ist wirklich köstlich,this is really delicious,this is food delicious                                  
68302,das ist wirklich wichtig,this is really important,really   important                                  
68312,hier wurde ich geboren,this is where i was born,i was born i was                                 
68325,das macht mich rasend,this makes my blood boil,that me that me                                  
68355,das schmeckt wie hühnchen,this tastes like chicken,this book is like                                  
68391,tom analysierte die ergebnisse,tom analysed the results,tom took his the                                  
68450,tom wurde taxifahrer,tom became a taxi driver,tom was punished by                                  
68470,tom hat ein paar kartoffeln gekauft,tom bought some potatoes,tom bought a tickets cars                                 
68482,tom bezeichnete maria als idiotin,tom called mary an idiot,tom took mary  a mary                                
68495,tom kann auch auto fahren,tom can drive a car too,tom can ride drive                                  
68555,tom hat den größten teil der arbeit geleistet,tom did most of the work,tom has the                                   
68563,tom hat nicht abgewaschen,tom didnt do the dishes,tom have no phone                                  
68576,tom hat nicht sein wort gehalten,tom didnt keep his word,tom be his  death                                 
68583,tom wollte das nicht tun,tom didnt mean to do it,tom want to do that                                 
68654,tom traut niemandem,tom doesnt trust anyone,tom saw anything                                   
68674,tom ist im fluss ertrunken,tom drowned in the river,tom is in  street                                 
68725,tom ließ seinen anzug ändern,tom got his suit altered,tom admitted his  seatbelt                                 
68730,tom hat sich an die arbeit gewöhnt,tom got used to the work,tom has himself about the work                                
68758,tom hat eine bewegte vergangenheit,tom has a checkered past,tom has a  burger                                 
68779,tom hat etwas für maria,tom has a thing for mary,tom has a for  mary                                
68803,tom hat sich wieder unanständig benommen,tom has misbehaved again,tom got moved by                                  
68821,tom hat sich kein bisschen geändert,tom hasnt changed a bit,tom changed  at                                  
68860,tom kann gut dinge präsentieren,tom is a great presenter,tom may be good  of now                               
68871,tom ist mein persönlicher freund,tom is a personal friend,tom is my friend                                  
68876,tom ist ein wirklich guter junge,tom is a really nice kid,tom is a good big                                 
68884,tom hat vom küssen keine ahnung,tom is a terrible kisser,tom did no he                                  
68892,tom ist hochzeitsplaner,tom is a wedding planner,tom is a capricorn                                  
68917,tom studiert,tom is attending college,tom is studying                                   
68923,tom schließt den laden,tom is closing the store,tom pulled the october                                  
68934,tom lädt sich spiele herunter,tom is downloading games,tom turned himself                                   
68978,tom interessiert sich für kunst,tom is interested in art,tom is for                                   
69012,darin ist tom ziemlich gut,tom is pretty good at it,good is good  at                                 
69058,tom denkt daran,tom is thinking about it,tom knows you                                   
69076,tom trägt einen nassanzug,tom is wearing a wetsuit,tom is wearing a  phone                                
69087,tom ist noch unter 13 jahren,tom isnt a teenager yet,tom is still years                                  
69102,tom ist nicht mehr einsam,tom isnt lonely anymore,tom feeling anymore                                   
69111,tom ist nicht allzu gesprächig,tom isnt very talkative,tom very being                                   
69124,tom trat gegen den mülleimer,tom kicked the trash can,tom quietly the  door                                 
69125,tom wusste dass maria hunger hatte,tom knew mary was hungry,tom knew mary was fat                                 
69134,tom weiß dass etwas im gange ist,tom knows somethings up,tom knows that  good textbook still                               
69135,tom weiß dass maria gelogen hat,tom knows that mary lied,tom knows mary  was                                 
69148,tom ist vor drei stunden abgefahren,tom left three hours ago,tom is three  hours                                 
69169,tom verschloss alle türen,tom locked all the doors,tom worked after the moment                                 
69187,tom liebte maria sehr,tom loved mary very much,tom said mary happy very                                 
69191,tom studiert gerne musik,tom loves studying music,tom likes being people                                  
69202,tom machte stetige fortschritte,tom made steady progress,tom grew to a food                                 
69216,tom vermisst seine frau maria,tom misses his wife mary,tom saved his   wife                                
69220,tom muss zwei uhr dreißig zu hause sein,tom must be home by 230,tom must to be at                                 
69279,tom spielte krank,tom pretended to be sick,tom pretended that he was sick                                
69280,tom versprach nichts zu sagen,tom promised not to tell,tom mean to say  anything                                
69289,tom setzte das gepäck ab,tom put the luggage down,tom put on front fire off                                
69303,tom ist ein großer tierliebhaber,tom really loves animals,tom is a very good                                 
69308,tom weigerte sich sich zu ergeben,tom refused to surrender,tom refused harder elbow guard                                 
69310,tom weigert sich langsamer zu machen,tom refuses to slow down,tom decided speaking to on                                 
69318,tom zerriss den brief,tom ripped up the letter,tom answered the  morning                                 
69321,tom läuft eine meile in 9 minuten,tom runs a 9minute mile,tom is in a pond in garden                               
69344,tom saß am feuer,tom sat by the fireplace,tom fell out on the fire                                
69377,tom scheint freundlich zu sein,tom seems to be friendly,tom seems to be annoyed                                 
69410,tom stand vor mir,tom stood in front of me,tom moved looking at the                                 
69418,natürlich kann thomas tennis spielen,tom sure can play tennis,mom will  playing tennis last                                
69439,tom bewarf marie mit einem ei,tom threw an egg at mary,tom went up with women                                 
69508,tom will dass ich ihnen helfe,tom wants me to help you,tom wants me to help you                                
69553,tom war nirgends zu sehen,tom was nowhere in sight,tom was nowhere to see to                                
69560,tom war wirklich überrascht,tom was really surprised,tom was really at                                  
69564,tom wurde kaltgestellt,tom was sent to coventry,tom was punished                                   
69591,tom ging direkt ins bett,tom went straight to bed,tom went sitting bed                                  
69601,tom wird sie immer lieben,tom will always love you,tom is going to be safe                                
69617,tom wird mary die entscheidung treffen lassen,tom will let mary decide,tom will going the turn on door                               
69630,tom weckte maria um sechs uhr dreißig,tom woke mary up at 630,tom and mary at  last ago                               
69665,toms erster wagen war blau,toms first car was blue,car was interesting clever                                  
69680,morgen ist muttertag,tomorrow is mothers day,tomorrow is  number                                  
69688,lass tom die arbeit nicht knapp werden,try to keep tom occupied,let tom to  bed                                 
69693,12 ist eine gerade zahl,twelve is an even number,twelve is an even number                                 
69699,der vandalismus nimmt zu,vandalism is on the rise,the refrigerator is right                                  
69730,wir helfen alle gerne,we are all happy to help,we will give the together                                 
69742,wir können immer noch mit tom reden,we can still talk to tom,we can talk  tom                                 
69814,wir hatten nichts gemein,we had nothing in common,we like nothing                                   
69832,wir haben auch eins für euch,we have one for you too,we have a for too                                 
69843,wir müssen uns eine neue besorgen,we have to get a new one,we have to have new   emergency                              
69919,gestern abend haben wir ferngesehen,we watched tv last night,we finally sometimes him                                  
69923,wir sind mit dem bus zur schule gefahren,we went to school by bus,we went to the bed                                 
69932,wir werden in einer stunde aufbrechen,we will leave in an hour,well off a hour                                  
69942,das werden wir später besprechen,well discuss that later,well woods of later                                  
69953,wir werden euch irgendwann einmal besuchen,well visit you sometime,well will come to you                                 
69957,wir sind in etwa gleich alt,were about the same age,were are in wife                                  
69967,wir verrichten nur unsere arbeit,were just doing our job,we were have a job                                 
69974,wir gehen nicht mit dir,were not going with you,were going you                                   
70019,warst du der bassist,were you the bass player,are you enjoy the                                  
70027,was für eine angenehme überraschung,what a pleasant surprise,what happened was christmas a                                 
70033,worum bitten sie,what are they asking for,what do they want she                                 
70048,was fehlt,what are you looking for,missing                                     
70055,woran denkst du,what are you thinking of,what do you think for                                 
70058,was haben sie heute vor,what are you up to today,you up to today                                  
70066,welche haarfarbe hat tom,what color is toms hair,your small is age                                  
70097,was wollt ihr damit sagen,what do you mean by that,what do you want to  about                               
70115,was willst du von uns,what do you want from us,what do you want to want about                               
70171,was wollen wir heute abend machen,what shall we do tonight,what do it going to do by it                              
70233,was ist dein problem tom,whats your dilemma tom,your is tom                                   
70234,welches auto gefällt dir am besten,whats your favorite car,your color of the book                                 
70265,wann ist dein termin,when is your appointment,what is your                                   
70271,wann wird die show beginnen,when will the show begin,when will the empty end                                 
70274,wann lernen sie es endlich mal,when will you ever learn,when  you even time                                 
70276,wann werden sie von hier aufbrechen,when will you leave here,when do you leave here                                 
70283,wohin geht ihr,where are you guys going,where are you going                                  
70295,wo haben sie die hier gefunden,where did you find these,where did you find that                                 
70299,wo hast du das erfahren,where did you learn this,where did you know that made                                
70359,wer hat den garten zerstört,who destroyed the garden,who broke the green                                  
70366,wer dachten sie war es,who did you think it was,who was you did it                                 
70388,wer ist der typ da drüben,whos the guy over there,whose is  over                                  
70395,warum halten wir hier an,why are we stopping here,why are we even here                                 
70403,warum quälst du mich,why are you torturing me,why are you making me                                 
70439,warum muss ich das tun,why do i have to do this,why do i do to do this                               
70467,warum gehst du nicht hin,why dont you go and see,why you go leave there                                 
70481,warum hat das so lange gedauert,why has it taken so long,why did that all that this                                
70485,warum sind alle so glücklich,why is everyone so happy,why are were happy                                  
70489,warum ist meine schwester so gemein,why is my sister so mean,my is  my sister                                 
70511,wieso ist es hier so dunkel,whys everything so dark,is  the far from way                                
70517,werden sie mich besuchen kommen,will you come and see me,will you come me to  back                               
70525,könntest du aufhören mich zu ärgern,will you stop teasing me,could you come for me dinner                                
70528,gewinnen ist nicht alles,winning isnt everything,everything is everything                                   
70560,du hast vollkommen unrecht,you are completely wrong,got deceived wrong                                   
70593,du kannst doch tanzen oder,you can dance cant you,you can help you                                  
70622,man kann das vergangene nicht ausradieren,you cant erase the past,you make be sense you                                 
70650,du hast mich nicht zu wort kommen lassen,you didnt let me answer,you have to take up                                 
70725,du weißt dass das nicht fair ist,you know this isnt fair,you know  that                                  
70741,du hast mich um den verstand gebracht,you made me lose my mind,you made for at                                  
70759,du musst unbedingt tom kennenlernen,you must get to know tom,you ought to  see you                                
70766,du musst französisch lernen,you need to learn french,you must to french                                  
70772,du hattest nie eine chance,you never stood a chance,you had  a job                                 
70784,du hättest es ihm sagen sollen,you should have told him,you have  it have said tom                               
70798,sie sollten hier nicht reden,you should not talk here,you talk here                                   
70817,ihr habt mich ausgenutzt,you took advantage of me,you me save of piano                                 
70823,ihr werdet nichts fangen,you wont catch anything,you missing anything                                   
70832,du wärest ein guter anwalt,youd make a good lawyer,a have a good student                                 
70858,du bist voller überraschungen,youre full of surprises,your is of out                                  
70883,du bist der beste papa aller zeiten,youre the best dad ever,the  natural of person                                 
70886,sie drehen mir das wort im munde herum,youre twisting my words,she me  to on the price                               
70894,du hast es schon vergessen,youve already forgotten,have this food                                   
70917,du hast lange geschlafen,youve slept a long time,you have a                                   
70926,dein buch ist verkehrt herum,your book is upside down,your favorite is on                                  
70952,ein kaltes bad erfrischte ihn,a cold bath refreshed him,a poor before a from a                                
70956,ein paar tage später kam er,a few days later he came,a doctor ship off a few days                               
70959,ein mädchen erschien vor mir,a girl appeared before me,a girl child of to                                 
70990,sie brauchen nur zu fragen,all you have to do is ask,you need  to ask                                 
70999,und was hast du dann gemacht,and then what did you do,tell me you  do                                 
71103,wenigstens war es nicht langweilig,at least it wasnt boring,no here to here                                  
71111,sei ruhig und hör mir zu,be quiet and listen to me,please and on and  please                                
71119,blauwale ernähren sich von krill,blue whales feed on krill,when were gave had a missing                                
71131,bring mir ein glas wasser,bring me a glass of water,walk me three water                                  
71161,darf ich hier fotografieren,can i take a picture here,may i have a bath                                 
